Date,Price,Open,High,Low,Change 
2018-04-27,107614.27,107228.7,108199.54,106669.95,0.01
2018-04-30,104282.78,107940.24,108170.76,103750.47,-0.03
2018-05-02,104725.74,104815.39,105332.31,102934.42,0
2018-05-03,102909.13,104734.98,104915.15,102629.74,-0.02
2018-05-04,102599.22,102794.16,103425.74,101548.55,0
2018-05-07,100866.24,102575.19,102759.76,100599.05,-0.02
2018-05-08,99363.79,101354.67,101536.56,98904.07,-0.01
2018-05-09,100780.57,98727.15,101647.29,97849.2,0.01
2018-05-10,102380.68,101236.81,102380.68,99318.22,0.02
2018-05-11,101852.48,102467.96,102877.36,101232.97,-0.01
2018-05-14,103370.42,101738.2,103762.98,101564.56,0.01
2018-05-15,101540.39,102264.89,103026.71,101221.14,-0.02
2018-05-16,102157.88,101611.97,102794.66,100654.84,0.01
2018-05-17,101869.35,102611.06,102713.9,101561.1,0
2018-05-18,102410.3,102033.23,102884.67,101886.87,0.01
2018-05-21,102257.65,102166.51,103317.88,101893.13,0
2018-05-22,103327.74,102718.04,103769.84,102262.26,0.01
2018-05-23,101891.68,102806.37,103490.3,101419.87,-0.01
2018-05-24,101138.08,103027.12,103758.63,100888.77,-0.01
2018-05-25,103200.08,101786.2,103349.16,101321.6,0.02
2018-05-28,106525.25,104481.11,106525.25,104416.43,0.03
2018-05-29,105113.38,105930.26,105930.26,104286.93,-0.01
2018-05-30,103869.02,104979.24,105785.2,103639.48,-0.01
2018-05-31,100652.27,104264.4,104375.3,100579.79,-0.03
2018-06-01,99171.21,100706.76,100792.52,97990.64,-0.01
2018-06-04,99249.8,99264.37,100510.33,98937.91,0
2018-06-05,97823.15,99600.41,99908.51,97665.35,-0.01
2018-06-06,96657.71,98269.59,98361.79,95126.49,-0.01
2018-06-07,98623.65,96442.26,98795.28,96070.16,0.02
2018-06-08,95875.71,98190.74,98190.74,95624.99,-0.03
2018-06-11,96661.36,95922.27,97186.54,93396.54,0.01
2018-06-12,95306.98,96473.53,96783.19,94950.58,-0.01
2018-06-13,93504.76,94825.54,95608.54,93337.28,-0.02
2018-06-14,94540.84,93295.87,95406.17,92750.94,0.01
2018-06-18,93043.28,94235.9,94235.9,92720.87,-0.02
2018-06-19,94436.87,92597.62,94743.17,92288.59,0.02
2018-06-20,94551.86,94296.01,95246.72,93719.11,0
2018-06-21,95057.23,94590.32,95398.26,94324.33,0.01
2018-06-22,95852.11,95517.18,96186.76,94451.46,0.01
2018-06-25,94008.29,99255.76,99394.05,93365.45,-0.02
2018-06-26,94408.19,94077.94,95101.48,93807.74,0
2018-06-27,95954.8,94432.93,96187.31,94292.57,0.02
2018-06-28,96226.99,95807.3,96993.23,95486.95,0
2018-06-29,96520.07,96827.2,97500.05,96230.08,0
2018-07-02,96773.49,96094.44,97267.3,95654.92,0
2018-07-03,96588.2,97027.91,97445.82,96450.39,0
2018-07-04,97230.07,96795.51,97455.05,96392.09,0.01
2018-07-05,99097,97559.72,99264.8,97559.72,0.02
2018-07-06,98733.89,99301.48,99806.42,98109.88,0
2018-07-09,99252.84,99596.1,100807.75,98732.98,0.01
2018-07-10,96274.69,97650.95,98466.18,95851.25,-0.03
2018-07-11,91289.47,95281.65,95281.65,91215.9,-0.05
